"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.953,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,62.3,35.6,0.0,6.1,0.0,13.9,0.0,0.0,0.0,37.8,0.0,5.0,0.0,0.0,0.0,0.0
31.953,1.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
31.953,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.979,0.000,0.000,0.000,0.000,0.000,0.979,0.000,0.000,0.966,0.000,0.011,0.000,0.000,0.000,0.000,0.800,0.144,0.000,0.033,0.000,0.977,0.000,0.000,0.000,0.876,0.000,0.099,0.000,0.000,0.000,0.000
32.954,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,7.8,0.0,0.0,0.0,0.0,84.5,60.0,0.0,7.8,0.0,46.1,0.0,42.8,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0
32.954,2.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0
32.954,2.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.446,0.553,0.000,0.000,0.000,0.000,0.678,0.254,0.000,0.066,0.000,0.967,0.000,0.033,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33.955,3.000,"TOTAL_DISTANCE_IN_ZONE",8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,0.0,0.0,0.0,0.0,0.0,21.7,102.3,0.0,3.9,0.0,46.7,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0
33.955,3.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
33.955,3.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.020,0.933,0.000,0.046,0.000,0.987,0.000,0.012,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
34.956,4.000,"TOTAL_DISTANCE_IN_ZONE",8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7,4.4,0.0,3.9,0.0,41.7,0.0,5.0,0.0,13.9,0.0,0.0,0.0,0.0
34.956,4.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
34.956,4.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.019,0.000,0.946,0.000,0.053,0.000,0.220,0.000,0.779,0.000,0.000,0.000,0.000
35.957,5.000,"TOTAL_DISTANCE_IN_ZONE",46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,38.4,18.9,0.0,0.0,0.0,0.0,0.0,0.0,78.4,0.0,0.0,8.9,0.0,0.0,0.0,12.2,0.0,14.5,0.0,0.0,0.0,0.0
35.957,5.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0
35.957,5.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.749,0.217,0.033,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.033,0.514,0.000,0.452,0.000,0.000,0.000,0.000
36.958,6.000,"TOTAL_DISTANCE_IN_ZONE",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,95.1,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,89.5,26.1,0.0,46.7,0.0,41.1,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0
36.958,6.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0
36.958,6.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.683,0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.183,0.000,0.783,0.033,0.000,0.767,0.000,0.233,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
37.959,7.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2,0.0,45.6,9.5,0.0,83.4,0.0,42.3,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0
37.959,7.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0
37.959,7.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.449,0.000,0.517,0.033,0.000,0.650,0.000,0.350,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
38.960,8.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,0.0,47.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,0.0,3.9,0.0,41.7,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
38.960,8.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
38.960,8.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.414,0.000,0.518,0.066,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.984,0.000,0.015,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
39.961,9.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,67.8,18.9,0.0,0.0,8.3,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0
39.961,9.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
